"filename", "language", "Rust", "comment", "blank", "total"
"/Users/anshmendiratta/Desktop/Code/School/nea/src/Collisions/detection.rs", "Rust", 6, 0, -1, 5
"/Users/anshmendiratta/Desktop/Code/School/nea/src/Collisions/resolve.rs", "Rust", 1, 0, 1, 2
"/Users/anshmendiratta/Desktop/Code/School/nea/src/DataStructures/LinearQueue.rs", "Rust", 5, 0, 2, 7
"/Users/anshmendiratta/Desktop/Code/School/nea/src/Environment/boundary.rs", "Rust", 5, 0, 1, 6
"/Users/anshmendiratta/Desktop/Code/School/nea/src/Environment/world.rs", "Rust", 20, 4, 7, 31
"/Users/anshmendiratta/Desktop/Code/School/nea/src/Motion/linear.rs", "Rust", 0, 0, 2, 2
"/Users/anshmendiratta/Desktop/Code/School/nea/src/RigidBodies/ball.rs", "Rust", -14, 0, -2, -16
"/Users/anshmendiratta/Desktop/Code/School/nea/src/RigidBodyObjects/ball.rs", "Rust", 8, 0, 4, 12
"/Users/anshmendiratta/Desktop/Code/School/nea/src/RigidBodyObjects/rigidbody.rs", "Rust", 12, 0, 4, 16
"/Users/anshmendiratta/Desktop/Code/School/nea/src/environment.rs", "Rust", -17, -7, -8, -32
"/Users/anshmendiratta/Desktop/Code/School/nea/src/main.rs", "Rust", 31, 16, 7, 54
"/Users/anshmendiratta/Desktop/Code/School/nea/src/rigidbody.rs", "Rust", -11, 0, -2, -13
"Total", "-", 46, 13, 15, 74
